seq,timestamp_ms,red,ir,red_corrected,ir_corrected,time_sec,red_roll_mean,red_roll_std,ir_roll_mean,ir_roll_std,red_diff,ir_diff,red_diff2,ir_diff2,signal_energy
56,136193,40598,100916,0.9945161543845132,5.189811060579121,1.1,-55.081242484425445,21.51550671610076,-167.1435072565955,75.82367889869677,7.711147035696879,18.824971649983546,-1.6633775159414768,35.946453568693,27.92320122584114
57,136205,40579,100897,-17.367673013581175,-13.768027463513627,1.112,-55.09674905452808,21.48746215602303,-166.76500559133888,76.55226963190357,-18.36218916796569,-18.95783852409275,-26.073336203662567,-37.782810174076296,491.1946461427413
58,136236,40579,100919,-18.087815393538463,8.584934284349682,1.143,-55.13181886097755,21.424244624363133,-165.8487571942229,78.38652347589702,-0.7201423799572879,22.35296174786331,17.6420467880084,41.31080027195606,400.8701623773296
59,136256,40587,100912,-11.452889366868275,0.7798948504668086,1.163,-54.85310587998927,21.90434526473262,-164.88956339626583,80.14205354032453,6.634926026670188,-7.8050394338828735,7.355068406627476,-30.158001181746187,131.77691082750906
60,136282,40591,100929,-6.408273618622272,18.297037211801754,1.189,-54.62182172626916,22.358061787654957,-163.53058247892534,82.67220539518907,5.044615748246003,17.517142361334948,-1.5903102784241847,25.322181795217823,375.8475415011883
61,136296,40587,100911,-10.531765840519268,0.7261906960054478,1.203,-54.1109184049254,23.070978499620317,-161.68652128768173,85.29881515851896,-4.1234922218969965,-17.570846515796305,-9.168107970143,-35.08798887713125,111.44544464649341
62,136319,40598,100906,0.6469603725696533,-4.498535791762387,1.226,-53.32563741710441,24.24735021299512,-159.6655435546087,87.8159894696879,11.178726213088922,-5.2247264877678345,15.302218434985917,12.34612002802847,20.65538199344271
63,136330,40584,100908,-12.175431510761976,-3.062214962471458,1.237,-52.814236781501286,24.8449422911415,-157.49726799907646,90.33249817435534,-12.82239188333163,1.4363208292909286,-24.00111809642055,6.661047317058763,157.61829294963974
64,136350,40587,100907,-8.274535122461476,-4.524952273771108,1.257,-52.24195269345253,25.539115586540838,-155.5361272980421,92.58538130949628,3.9008963883005006,-1.4627373112996498,16.72328827163213,-2.8990581405905784,88.94312457275487
65,136380,40571,100890,-24.733778039601145,-21.46879045923158,1.287,-51.665015337247375,25.832403144967618,-152.68945923629326,94.49448054091292,-16.45924291713967,-16.94383818546047,-20.36013930544017,-15.481100874160822,1072.6687398946488
66,136400,40580,100879,-17.431755257077075,-31.33413026867707,1.307,-50.98758436556984,26.282289832991534,-150.1061290986203,96.02971026448263,7.3020227825240696,-9.86533980944549,23.76126569966374,7.078498376014981,1285.6938110370588
67,136420,40582,100862,-14.226052877427817,-47.45522976748728,1.327,-50.31127267702445,26.78982479038171,-147.28372981826172,96.94545054963015,3.2057023796492583,-16.12109949881021,-4.096320402874811,-6.255759689364719,2454.3794127563833
68,136443,40579,100842,-17.448145308516857,-67.98187048964827,1.35,-49.52879112542471,27.17186896016353,-145.12036702677068,97.49349685906593,-3.22209243108904,-20.52664072216099,-6.427794810738298,-4.405541223350781,4925.97248997843
69,136460,40581,100852,-14.993812705027992,-58.061098681694745,1.367,-48.4875482915834,27.482263900901483,-141.85987000721315,97.62706204986675,2.454332603488865,9.920771807953528,5.676425034577905,30.44741253011452,3595.905599558954
70,136479,40578,100895,-17.69085235205923,-15.371765806073125,1.386,-47.28866135635249,27.492281315647563,-137.59553390552813,98.41491340115216,-2.6970396470312394,42.689332875621616,-5.1513722505201045,32.76856106766809,549.2574409391186
71,136495,40514,100862,-81.8582102025153,-48.05371305047055,1.402,-47.76922934252734,27.887471277855177,-133.66616389262398,97.97976563329719,-64.16735785045606,-32.68194724439742,-61.47031820342482,-75.37128012001904,9009.925915496144
72,136517,40562,100842,-35.29731303072194,-66.49079080219974,1.424,-47.291497749027066,27.892535920011905,-130.1393734409496,97.1402831460432,46.56089717179336,-18.43707775172919,110.72825502224941,14.24486949266823,5666.925568690663
73,136537,40568,100861,-27.909167588985653,-47.31234510823555,1.444,-46.61441487649615,27.9449180218027,-126.13884384969701,96.33062637140867,7.388145441736285,19.178445693964193,-39.17275173005707,37.615523445693384,3017.379635150867
74,136559,40565,100859,-29.700775632323367,-49.21159601122342,1.466,-45.73925129511027,27.771718850764202,-123.06328637030973,96.28176330502627,-1.791608043337714,-1.8992509029878732,-9.179753485073999,-21.077696596952066,3303.917255133474
75,136570,40568,100850,-26.685358814846403,-58.30121233519132,1.477,-44.946621043098766,27.737968254458526,-119.91589021972752,95.76345731776634,3.0154168174769644,-9.089616323967903,4.807024860814678,-7.190365420980029,4111.139734830165
76,136602,40563,100840,-30.505883137294152,-67.85645604128764,1.509,-44.22268485183149,27.63071100380955,-116.90627898428691,94.96851534726181,-3.820524322447749,-9.55524370609632,-6.835941139924714,-0.46562738212841737,5535.10753246945
77,136620,40571,100845,-23.139600290079223,-62.27813864801245,1.527,-43.096673472252036,27.31157469467575,-113.69577157105513,94.02415765234285,7.366282847214929,5.578317393275192,11.186807169662679,15.133561099371512,4414.007655045696
78,136631,40554,100840,-40.592316070904,-66.92940097529988,1.538,-42.4263911947061,26.943776077177194,-110.76299590449356,93.12807779629473,-17.452715780824775,-4.651262327287434,-24.818998628039704,-10.229579720562626,6127.280838912644
79,136659,40557,100850,-37.28276368113136,-57.14860141471094,1.566,-41.83988453514144,26.72493634794712,-107.61261078841821,92.20110469040847,3.309552389772641,9.780799560588946,20.762268170597416,14.43206188787638,4655.967111360589
80,136679,40559,100845,-36.21437353995676,-61.29692506571517,1.586,-41.31254597409271,26.566982965974695,-104.52970289696908,91.09244263781252,1.0683901411745964,-4.148323651004233,-2.2411622485980445,-13.92912321159318,5068.7938734034215
81,136700,40527,100836,-67.8664081678476,-70.11629656109933,1.607,-41.35139135231711,26.60509627301929,-101.36502512888782,89.43653931501713,-31.652034627890835,-8.81937149538416,-32.72042476906543,-4.6710478443799275,9522.144401048921
82,136720,40570,100820,-24.056234563032767,-86.3242893563124,1.627,-40.30983311499154,26.232386299236964,-98.79946210713808,87.94945666921937,43.81017360481483,-16.207992795213073,75.46220823270566,-7.3886212998289125,8030.585354224004
83,136730,40559,100801,-34.83502012283286,-104.86763890999548,1.637,-39.78003521352608,26.066270357933263,-96.40080163596812,86.05801094783,-10.778785559800092,-18.543349553683072,-54.58895916461492,-2.335356758469999,12210.700317515368
84,136753,40573,100865,-20.42324663445507,-40.060394225623256,1.66,-38.83202162874441,25.886865726980137,-92.71968395760321,84.40409947075301,14.41177348837779,64.80724468437222,25.19055904817788,83.3505942380553,2021.9441886041295
85,136768,40568,100841,-26.16016077265536,-63.57556844518392,1.675,-37.91793201139712,25.50070232025549,-89.2432983399597,81.86509080238777,-5.736914138200291,-23.515174219560663,-20.14868762657808,-88.32241890393288,4726.206914779441
86,136795,40569,100839,-25.10315757754438,-65.6990951877858,1.702,-37.30746152838159,25.433382385670143,-86.23456911685075,79.84587491371293,1.0570031951109797,-2.1235267426018822,6.793917333311271,21.39164747695878,4946.539628856764
87,136817,40558,100848,-34.80173423084012,-56.44734887194135,1.724,-36.42124495144608,24.708642296175054,-82.48437890114839,76.62532545059224,-9.698576653295738,9.25174631584445,-10.755579848406718,11.375273058446332,4397.463900144687
88,136837,40559,100850,-34.01932308708319,-53.874474490457885,1.744,-35.59192405410158,24.058053964345817,-79.34193784545248,74.43802957196559,0.7824111437569314,2.572874381483466,10.48098779705267,-6.678871934360984,4059.7733449263483
89,136857,40577,100851,-15.690924603863294,-52.56243648852124,1.764,-34.41513944143437,23.548183732220796,-75.88104343807763,71.46209641491093,18.328398483219893,1.3120380019366422,17.54598733946296,-1.2608363795468236,3009.014844533952
90,136877,40560,100863,-32.36698073990683,-40.65752430687391,1.784,-33.58062160395951,22.84213004317782,-72.36054157984205,68.66521063574271,-16.676056136043535,11.904912181647333,-35.00445461926343,10.592874179710691,2700.6557249815423
91,136895,40579,100870,-13.820509895074544,-32.911637478228535,1.802,-32.48918336940585,22.44513540485407,-68.98435217955605,66.28367818749896,18.546470844832285,7.745886828645375,35.22252698087582,-4.159025353001958,1274.1823752581904
92,136906,40572,100859,-20.68307858220788,-43.81869559282456,1.813,-31.3882296532341,21.61554896248453,-65.57932862786176,62.96849978733906,-6.8625686871333365,-10.907058114596026,-25.40903953196562,-18.6529449432414,2347.867823094409
93,136937,40560,100870,-31.645415392343462,-33.20863731610985,1.844,-30.539938172888597,20.720478400702618,-62.04745951544501,59.57511417985967,-10.962336810135582,10.61005827671471,-4.099768123002246,21.517116391310736,2104.245907746892
94,136959,40575,100880,-17.255065604867628,-22.9638430411012,1.866,-29.6348803378213,20.279249541733193,-58.18435539442246,55.503964362388984,14.390349787475834,10.244794275008651,25.352686597611417,-0.3652640017060591,825.0753762446179
95,136982,40568,100868,-24.08825461613728,-34.27933861997675,1.889,-28.644300263378117,19.271636753584854,-54.89930819447076,51.762469513964945,-6.833189011269653,-11.315495578875549,-21.223538798745487,-21.5602898538842,1755.3170666748883
96,136992,40573,100883,-18.70370671574565,-19.189493921220784,1.899,-27.799003672504384,18.744597058813923,-51.363755391889214,47.81733139853124,5.384547900391631,15.089844698755964,12.217736911661284,26.405340277631513,718.0653218611983
97,137012,40570,100885,-21.89654576983025,-17.56263235960308,1.919,-27.049787530639186,18.198160587842228,-47.8535083349155,43.44424375667701,-3.192839054084601,1.6268615616177051,-8.577386954476232,-13.46298313713826,787.9047720488483
98,137038,40577,100880,-14.430085529169958,-22.347911492462813,1.945,-25.982046252084015,17.30150099572235,-44.18801029113297,37.134697298513174,7.466460240660293,-4.785279132859735,10.659299294744894,-6.41214069447744,707.6565164541117
99,137053,40573,100880,-18.659529593592364,-22.108348512133198,1.96,-24.880833184737295,15.89622657145521,-41.12565682200746,32.077060259791914,-4.229444064422406,0.23956298032961598,-11.6959043050827,5.024842113189351,836.9571185880914
100,137072,40589,100889,-2.883499787184157,-12.949618020205731,1.979,-23.595684931440907,14.981075828933728,-38.445009225234315,28.44507152123159,15.776029806408207,9.158730491927466,20.005473870830613,8.91916751159785,176.00717789192808
